id,startTime,duration,endTime,totalPausedTime,completed,stopped,type,tags
1,2024-07-22T22:13:00+05:30,3.60E+03,2024-07-22T23:13:00+05:30,0,Y,,Work,Inorganic chemistry (ratta)
2,2024-07-23T01:01:25+05:30,4800,2024-07-23T02:21:25+05:30,0,Y,,Work,Physic lec
4,2024-07-23T02:21:00+05:30,655,2024-07-23T02:31:55+05:30,0,Y,,Work,Physic lec
3,2024-07-23T02:21:36+05:30,300,2024-07-23T02:21:39+05:30,0,,Y,Rest,
5,2024-07-23T09:26:00+05:30,3998,2024-07-23T10:32:38+05:30,0,Y,,Work,Inorganic chemistry (ratta)
6,2024-07-23T10:33:00+05:30,70,2024-07-23T10:34:10+05:30,0,Y,,Work,Inorganic chemistry (ratta)
8,2024-07-23T10:34:00+05:30,69,2024-07-23T10:35:09+05:30,0,Y,,Work,Inorganic chemistry (ratta)
7,2024-07-23T10:34:26+05:30,300,2024-07-23T10:34:31+05:30,0,,Y,Rest,
10,2024-07-23T11:02:00+05:30,7200,2024-07-23T13:02:00+05:30,0,Y,,Work,Maths lecture 
11,2024-07-23T13:48:00+05:30,1800,2024-07-23T14:18:00+05:30,0,Y,,Work,Maths lecture 
12,2024-07-23T14:30:00+05:30,3600,2024-07-23T15:30:00+05:30,0,Y,,Work,Physic practice 
13,2024-07-23T21:16:00+05:30,3758,2024-07-23T22:18:38+05:30,0,Y,,Work,Physic practice 
14,2024-07-23T22:36:00+05:30,3124,2024-07-23T23:28:04+05:30,0,Y,,Work,Physic practice 
15,2024-07-24T10:09:48+05:30,5400,2024-07-24T11:39:48+05:30,0,Y,,Work,Chemistry revision 
16,2024-07-24T12:14:00+05:30,828,2024-07-24T12:27:48+05:30,0,Y,,Work,Maths revision 
17,2024-07-24T13:32:00+05:30,2037,2024-07-24T14:05:57+05:30,0,Y,,Work,Maths revision 
18,2024-07-24T14:12:06+05:30,2700,2024-07-24T14:12:12+05:30,0,,Y,Rest,
19,2024-07-24T14:13:14+05:30,2700,2024-07-24T14:13:19+05:30,0,,Y,Rest,
20,2024-07-24T14:13:19+05:30,1500,2024-07-24T14:13:22+05:30,0,,Y,Work,Chemistry revision 
21,2024-07-24T14:13:42+05:30,2700,2024-07-24T14:49:06+05:30,755,,Y,Work,
22,2024-07-24T16:00:00+05:30,7200,2024-07-24T18:00:00+05:30,0,Y,,Work,Test
23,2024-07-24T18:00:00+05:30,3600,2024-07-24T19:00:00+05:30,0,Y,,Work,Test
24,2024-07-24T22:58:53+05:30,7200,2024-07-24T23:49:41+05:30,0,,Y,Work,Inorganic chemistry (ratta)
25,2024-07-25T08:09:00+05:30,5590,2024-07-25T09:42:10+05:30,0,Y,,Work,Physic practice 
26,2024-07-25T09:57:00+05:30,3323,2024-07-25T10:52:23+05:30,0,Y,,Work,Inorganic chemistry (ratta)
27,2024-07-25T11:30:00+05:30,7200,2024-07-25T13:30:00+05:30,0,Y,,Work,Chemistry lec
28,2024-07-25T13:30:00+05:30,900,2024-07-25T13:45:00+05:30,0,Y,,Work,Chemistry lec
29,2024-07-25T17:09:00+05:30,3602,2024-07-25T18:09:02+05:30,0,Y,,Work,Inorganic chemistry (ratta)
30,2024-07-25T18:45:00+05:30,2551,2024-07-25T19:27:31+05:30,0,Y,,Work,Inorganic chemistry (ratta)
31,2024-07-25T21:06:00+05:30,4345,2024-07-25T22:18:25+05:30,0,Y,,Work,Physic practice 
33,2024-07-26T00:08:00+05:30,2371,2024-07-26T00:47:31+05:30,0,Y,,Work,Physic practice 
34,2024-07-26T01:23:00+05:30,3059,2024-07-26T02:13:59+05:30,0,Y,,Work,Physic practice 
35,2024-07-26T02:32:00+05:30,3859,2024-07-26T03:36:19+05:30,0,Y,,Work,Maths practice 
36,2024-07-26T04:21:00+05:30,2397,2024-07-26T05:00:57+05:30,0,Y,,Work,Maths practice 
37,2024-07-26T09:13:00+05:30,2196,2024-07-26T09:49:36+05:30,0,Y,,Work,Maths practice 
38,2024-07-26T10:50:00+05:30,1325,2024-07-26T11:12:05+05:30,0,Y,,Work,Inorganic chemistry (ratta)
39,2024-07-26T11:30:00+05:30,4500,2024-07-26T12:45:00+05:30,0,Y,,Work,Physic lec
40,2024-07-26T12:45:00+05:30,7200,2024-07-26T14:45:00+05:30,0,Y,,Work,Maths practice 
32,2024-07-26T23:38:00+05:30,660,2024-07-26T23:49:00+05:30,0,Y,,Work,Physic practice 
41,2024-07-27T09:59:38+05:30,7200,2024-07-27T11:10:23+05:30,0,,Y,Work,Physic practice 
